"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"252",2014-11-13,214,0.05,-2.99573227355399,5.36597601502185
"253",2014-11-19,184,0.044,-3.12356564506388,5.21493575760899
"254",2014-12-03,214,0.042,-3.17008566069877,5.36597601502185
"255",2014-12-11,309,0.05,-2.99573227355399,5.73334127689775
"256",2014-12-17,648,0.103,-2.2730262907525,6.47389069635227
"257",2015-01-05,786,0.11,-2.20727491318972,6.66695679242921
"258",2015-01-08,515,0.052,-2.95651156040071,6.24416690066374
"259",2015-01-15,354,0.048,-3.03655426807425,5.86929691313377
"260",2015-01-21,301,0.03,-3.50655789731998,5.70711026474888
"261",2015-01-29,263,0.027,-3.61191841297781,5.57215403217776
"262",2015-02-04,302,0.02,-3.91202300542815,5.71042701737487
"263",2015-02-11,255,0.032,-3.44201937618241,5.54126354515843
"264",2015-02-18,259,0.02,-3.91202300542815,5.55682806169954
"265",2015-02-25,437,0.03,-3.50655789731998,6.07993319509559
"266",2015-03-05,863,0.052,-2.95651156040071,6.76041469108343
"267",2015-03-11,1260,0.13,-2.04022082852655,7.13886699994552
"268",2015-03-14,3700,0.662,-0.412489723045129,8.21608809863232
"269",2015-03-19,1450,0.096,-2.3434070875143,7.27931883541462
"270",2015-03-26,2290,0.478,-0.738144546490681,7.73630709654828
"271",2015-04-01,775,0.082,-2.50103603171788,6.65286302935335
"272",2015-04-14,566,0.068,-2.68824757380603,6.33859407820318
"273",2015-04-22,567,0.066,-2.71810053695571,6.34035930372775
"274",2015-04-29,382,0.042,-3.17008566069877,5.94542060860658
"275",2015-05-08,1590,0.326,-1.12085789761543,7.37148929521428
"276",2015-05-11,5880,0.632,-0.45886588483528,8.67931204089267
"277",2015-05-17,2260,0.812,-0.208254938820459,7.72312009226633
"278",2015-05-24,8140,0.772,-0.258770728957361,9.00454545899659
"279",2015-06-01,2200,1.21,0.19062035960865,7.69621263934641
"280",2015-06-20,6640,0.737,-0.3051673867928,8.80086724247048
